,Pos,Club,Country,05/06,06/07,07/08,08/09,09/10,Pts,NA
0,1,BAR  FC Barcelona  Barcelona,ESP,29.000,14.000,25.000,26.000,27.000,121.0,15.951
1,2,MU  Manchester United  Man. United,ENG,8.000,22.000,29.000,25.000,25.000,109.0,16.371
2,3,CHE  Chelsea FC  Chelsea,ENG,13.000,23.000,25.000,22.000,19.000,102.0,16.371
3,4,ARS  Arsenal FC  Arsenal,ENG,27.000,13.000,18.000,19.000,22.000,99.0,16.371
4,5,LIV  Liverpool FC  Liverpool,ENG,13.000,24.000,21.000,20.000,21.000,99.0,16.371
5,6,BAY  FC Bayern München  Bayern,GER,14.000,17.000,20.000,20.000,27.000,98.0,12.841
6,7,SEV  Sevilla FC  Sevilla,ESP,25.000,25.000,16.000,8.000,19.000,93.0,15.951
7,8,INT  FC Internazionale Milano  Inter,ITA,19.000,13.000,14.000,11.000,31.000,88.0,12.867
8,9,ACM  AC Milan  Milan,ITA,21.000,24.000,14.000,12.000,16.000,87.0,12.867
9,10,OL  Olympique Lyonnais  Lyon,FRA,21.000,15.000,12.000,13.000,25.000,86.0,10.748
10,11,BRM  SV Werder Bremen  Bremen,GER,11.000,21.000,13.000,22.000,15.000,82.0,12.841
11,12,HSV  Hamburger SV  Hamburg,GER,13.000,5.000,16.000,22.000,18.000,74.0,12.841
12,13,RM  Real Madrid CF  Real Madrid,ESP,12.000,14.000,12.000,12.000,19.000,69.0,15.951
13,14,ASR  AS Roma  Roma,ITA,14.000,17.000,17.000,14.000,9.000,71.0,12.867
14,15,POR  FC Porto  Porto,POR,7.000,13.000,14.000,16.000,19.000,69.0,7.659
15,16,SHK  FC Shakhtar Donetsk  Shakhtar Donetsk,UKR,11.000,12.000,7.000,26.000,10.000,66.0,7.91
16,17,SLB  SL Benfica  Benfica,POR,16.000,16.000,11.000,3.000,19.000,65.0,7.659
17,18,VLR  Villarreal CF  Villarreal,ESP,19.000,-,13.000,16.000,7.000,55.0,15.951
18,19,BOR  FC Girondins de Bordeaux  Bordeaux,FRA,-,9.000,12.000,9.000,27.000,57.0,10.748
19,20,VAL  Valencia CF  Valencia,ESP,-,17.000,7.000,11.000,16.000,51.0,15.951
20,21,CSM  PFC CSKA Moskva  CSKA Moskva,RUS,7.000,10.000,4.000,17.000,20.000,58.0,8.758
21,22,PSV  PSV Eindhoven  PSV,NED,11.000,15.000,16.000,5.000,12.000,59.0,7.309
22,23,ATL  Club Atlético de Madrid  Atlético,ESP,-,-,12.000,15.000,21.000,48.0,15.951
23,24,FIO  ACF Fiorentina  Fiorentina,ITA,-,-,21.000,9.000,21.000,51.0,12.867
24,25,OM  Olympique de Marseille  Marseille,FRA,12.000,2.000,12.000,12.000,14.000,52.0,10.748
25,26,ZEN  FC Zenit  Zenit,RUS,17.000,-,21.000,13.000,1.500,52.5,8.758
26,27,JUV  Juventus  Juventus,ITA,18.000,-,-,14.000,15.000,47.0,12.867
27,28,SCP  Sporting Clube de Portugal  Sporting CP,POR,2.000,7.000,17.000,12.000,12.000,50.0,7.659
28,29,PAN  Panathinaikos FC  Panathinaikos,GRE,6.000,9.000,12.000,12.000,12.000,51.0,5.979
29,30,TOT  Tottenham Hotspur  Tottenham,ENG,-,18.000,13.000,9.000,-,40.0,16.371
30,31,RAN  Rangers FC  Rangers,SCO,12.000,13.000,20.000,0.000,6.000,51.0,5.158
31,32,AJX  AFC Ajax  Ajax,NED,13.000,11.000,2.000,13.000,9.000,48.0,7.309
32,33,OLY  Olympiacos FC  Olympiacos,GRE,6.000,6.000,13.000,8.000,16.000,49.0,5.979
33,34,FEN  Fenerbahçe SK  Fenerbahçe,TUR,6.000,9.000,17.000,5.000,11.000,48.0,6.89
34,35,SCH  FC Schalke 04  Schalke,GER,21.000,2.000,13.000,6.000,-,42.0,12.841
35,36,ESP  RCD Espanyol  Espanyol,ESP,9.000,29.000,-,-,-,38.0,15.951
36,37,STU  VfB Stuttgart  Stuttgart,GER,10.000,-,5.000,8.000,17.000,40.0,12.841
37,38,BSL  FC Basel 1893  Basel,SUI,17.000,6.000,10.000,4.000,6.000,43.0,5.675
38,39,AZ  AZ Alkmaar  AZ Alkmaar,NED,11.000,16.000,6.000,-,8.000,41.0,7.309
39,40,SB  FCSB  FCSB,ROU,21.000,7.000,4.000,4.000,4.000,40.0,7.898
40,41,LIL  LOSC Lille  LOSC,FRA,13.000,11.000,-,-,12.000,36.0,10.748
41,42,EVE  Everton FC  Everton,ENG,2.000,-,17.000,1.000,8.000,28.0,16.371
42,43,GAL  Galatasaray AŞ  Galatasaray,TUR,1.000,6.000,6.000,14.000,10.000,37.0,6.89
43,44,DK  FC Dynamo Kyiv  Dynamo Kyiv,UKR,0.000,5.000,3.000,19.000,8.000,35.0,7.91
44,45,AND  RSC Anderlecht  Anderlecht,BEL,5.000,7.000,12.000,0.000,13.000,37.0,5.58
45,46,BL  Bayer 04 Leverkusen  Leverkusen,GER,0.000,12.000,16.000,-,-,28.0,12.841
46,47,PAR  Paris Saint-Germain  Paris,FRA,-,13.000,-,16.000,-,29.0,10.748
47,48,SCB  SC Braga  Braga,POR,2.000,10.000,7.000,12.000,1.000,32.0,7.659
48,49,FUL  Fulham FC  Fulham,ENG,-,-,-,-,23.000,23.0,16.371
49,50,UDI  Udinese Calcio  Udinese,ITA,11.000,-,-,15.000,-,26.0,12.867
50,51,WOL  VfL Wolfsburg  Wolfsburg,GER,-,-,-,10.000,16.000,26.0,12.841
51,52,BOL  Bolton Wanderers FC  Bolton,ENG,10.000,-,12.000,-,-,22.0,16.371
52,53,CEL  Celtic FC  Celtic,SCO,0.000,11.000,10.000,7.000,5.000,33.0,5.158
53,54,OSA  CA Osasuna  Osasuna,ESP,1.000,21.000,-,-,-,22.0,15.951
54,55,MID  Middlesbrough FC  Middlesbrough,ENG,21.000,-,-,-,-,21.0,16.371
55,56,RAP  FC Rapid Bucureşti  Rapid Bucureşti,ROU,18.000,8.000,2.000,1.000,-,29.0,7.898
56,57,BRU  Club Brugge  Club Brugge,BEL,8.000,5.000,2.000,6.000,10.000,31.0,5.58
57,58,PAL  US Città di Palermo  Palermo,ITA,14.000,7.000,2.000,-,-,23.0,12.867
58,59,HER  Hertha BSC Berlin  Hertha,GER,9.000,1.000,-,5.000,8.000,23.0,12.841
59,60,CPH  F.C. Copenhagen  Copenhagen,DEN,1.000,8.000,5.000,8.000,7.000,29.0,5.47
60,61,GET  Getafe CF  Getafe,ESP,-,-,18.000,-,-,18.0,15.951
61,62,BJK  Beşiktaş JK  Beşiktaş,TUR,6.000,5.000,7.000,2.000,7.000,27.0,6.89
62,63,SPM  FC Spartak Moskva  Spartak Moskva,RUS,-,8.000,11.000,6.000,-,25.0,8.758
63,64,MC  Manchester City FC  Man. City,ENG,-,-,-,17.000,-,17.0,16.371
64,65,NEW  Newcastle United FC  Newcastle,ENG,-,17.000,-,-,-,17.0,16.371
65,66,LEN  RC Lens  Lens,FRA,10.000,11.000,1.000,-,-,22.0,10.748
66,67,STD  R. Standard de Liège  Standard Liège,BEL,-,0.000,1.000,10.000,16.000,27.0,5.58
67,68,HVN  sc Heerenveen  Heerenveen,NED,8.000,6.000,2.000,3.000,6.000,25.0,7.309
68,69,SAM  UC Sampdoria  Sampdoria,ITA,7.000,-,2.000,9.000,-,18.0,12.867
69,70,BLA  Blackburn Rovers FC  Blackburn,ENG,-,11.000,2.000,-,-,13.0,16.371
70,71,DB  FC Dinamo Bucureşti  Dinamo Bucureşti,ROU,5.000,9.000,2.000,1.000,4.000,21.0,7.898
71,72,SLP  SK Slavia Praha  Slavia Praha,CZE,9.000,0.000,8.000,4.000,3.000,24.0,4.395
72,73,HTA  Hapoel Tel-Aviv FC  H. Tel-Aviv,ISR,-,10.000,5.000,0.000,9.000,24.0,3.775
73,74,SPP  AC Sparta Praha  Sparta Praha,CZE,5.000,6.000,5.000,2.000,5.000,23.0,4.395
74,75,CEL  RC Celta de Vigo  Celta,ESP,-,11.000,-,-,-,11.0,15.951
75,76,BET  Real Betis Balompié  Betis,ESP,11.000,-,-,-,-,11.0,15.951
76,77,AEK  AEK Athens FC  AEK,GRE,1.000,9.000,7.000,0.000,3.000,20.0,5.979
77,78,AV  Aston Villa FC  Aston Villa,ENG,-,-,-,8.000,1.500,9.5,16.371
78,79,LMO  FC Lokomotiv Moskva  Lokomotiv Moskva,RUS,9.000,2.000,6.000,-,-,17.0,8.758
79,80,STE  AS Saint-Étienne  St-Étienne,FRA,-,-,-,15.000,-,15.0,10.748
80,81,NAN  AS Nancy-Lorraine  Nancy,FRA,-,8.000,-,7.000,-,15.0,10.748
81,82,MET  FC Metalist Kharkiv  Metalist,UKR,-,-,1.000,15.000,1.500,17.5,7.91
82,83,LS  PFC Levski Sofia  Levski,BUL,15.000,3.000,0.000,1.000,2.000,21.0,4.4
83,84,TWE  FC Twente  Twente,NED,-,0.000,2.000,8.000,8.000,18.0,7.309
84,85,AAL  Aalborg BK  AaB,DEN,-,-,5.000,14.000,0.500,19.5,5.47
85,86,STR  Racing Club de Strasbourg Alsace  Strasbourg,FRA,14.000,-,-,-,-,14.0,10.748
86,87,RBK  Rosenborg BK  Rosenborg,NOR,6.000,-,8.000,6.000,0.500,20.5,3.48
87,88,ATH  Athletic Club  Athletic Club,ESP,-,-,-,-,8.000,8.0,15.951
88,89,RST  Real Racing Club  Racing,ESP,-,-,-,8.000,-,8.0,15.951
89,90,LAZ  SS Lazio  Lazio,ITA,-,-,7.000,-,4.000,11.0,12.867
90,91,DEP  Real Club Deportivo La Coruña  Deportivo,ESP,-,-,-,7.000,-,7.0,15.951
91,92,PAR  Parma FC  Parma,ITA,-,10.000,-,-,-,10.0,12.867
92,93,PRM  Portsmouth FC  Portsmouth,ENG,-,-,-,6.000,-,6.0,16.371
93,94,RUB  FC Rubin  Rubin,RUS,-,0.000,-,-,13.000,13.0,8.758
94,95,MON  AS Monaco FC  Monaco,FRA,11.000,-,-,-,-,11.0,10.748
95,96,FCZ  FC Zürich  Zürich,SUI,2.000,0.000,7.000,0.000,7.000,16.0,5.675
96,97,LIV  AS Livorno Calcio  Livorno,ITA,-,8.000,-,-,-,8.0,12.867
97,98,NÜR  1. FC Nürnberg  Nürnberg,GER,-,-,8.000,-,-,8.0,12.841
98,99,SBG  FC Salzburg  Salzburg,AUT,-,1.000,2.000,0.000,13.000,16.0,3.915
99,100,MHA  Maccabi Haifa FC  M. Haifa,ISR,0.000,12.000,-,-,4.000,16.0,3.775
100,101,TOU  Toulouse FC  Toulouse,FRA,-,-,4.000,-,5.000,9.0,10.748
101,102,REN  Stade Rennais FC  Rennes,FRA,3.000,-,4.000,2.000,-,9.0,10.748
102,103,AJA  AJ Auxerre  Auxerre,FRA,2.000,7.000,-,-,-,9.0,10.748
103,104,URZ  FC Unirea Urziceni  Unirea Urziceni,ROU,-,-,-,1.000,10.000,11.0,7.898
104,105,EIN  Eintracht Frankfurt  Frankfurt,GER,-,6.000,-,-,-,6.0,12.841
105,106,ZAR  Real Zaragoza  Zaragoza,ESP,-,-,2.000,-,-,2.0,15.951
106,107,GEN  Genoa CFC  Genoa,ITA,-,-,-,-,5.000,5.0,12.867
107,108,AUS  FK Austria Wien  Austria Wien,AUT,2.000,3.000,4.000,2.000,2.000,13.0,3.915
108,109,WES  West Ham United FC  West Ham,ENG,-,0.000,-,-,-,0.0,16.371
109,110,FEY  Feyenoord  Feyenoord,NED,1.000,6.000,-,2.000,-,9.0,7.309
110,111,LTX  PFC Litex Lovech  Litex,BUL,8.000,1.000,0.000,1.000,1.500,11.5,4.4
111,112,CFR  CFR 1907 Cluj  CFR Cluj,ROU,-,-,0.000,6.000,2.000,8.0,7.898
112,113,CSS  PFC CSKA Sofia  CSKA Sofia,BUL,6.000,1.000,2.000,-,2.000,11.0,4.4
113,114,OB  Odense BK  OB,DEN,-,6.000,2.000,-,1.500,9.5,5.47
114,115,DNI  FC Dnipro  Dnipro,UKR,5.000,-,2.000,0.000,-,7.0,7.91
115,116,NAP  SSC Napoli  Napoli,ITA,-,-,-,2.000,-,2.0,12.867
116,117,EMP  Empoli FC  Empoli,ITA,-,-,2.000,-,-,2.0,12.867
117,118,CHI  AC Chievo Verona  Chievo,ITA,-,2.000,-,-,-,2.0,12.867
118,119,BVB  Borussia Dortmund  Dortmund,GER,-,-,-,2.000,-,2.0,12.841
119,120,DZ  GNK Dinamo Zagreb  Dinamo Zagreb,CRO,-,0.000,4.000,4.000,4.000,12.0,2.466
120,121,NIJ  NEC Nijmegen  NEC,NED,-,-,-,7.000,-,7.0,7.309
121,122,LIB  FC Slovan Liberec  Liberec,CZE,-,8.000,-,0.000,1.500,9.5,4.395
122,123,MAI  1. FSV Mainz 05  Mainz,GER,1.000,-,-,-,-,1.0,12.841
123,124,PTZ  FK Partizan  Partizan,SRB,2.000,3.000,0.000,4.000,2.000,11.0,2.8
124,125,THU  FC Thun  Thun,SUI,8.000,-,-,-,-,8.0,5.675
125,126,GUI  Vitória SC  Vitória SC,POR,5.000,-,-,1.000,-,6.0,7.659
126,127,MLA  FK Mladá Boleslav  Mladá Boleslav,CZE,-,5.000,4.000,-,-,9.0,4.395
127,128,BTE  FC BATE Borisov  BATE,BLR,0.000,0.000,0.000,6.000,5.000,11.0,2.308
128,129,CRV  FK Crvena zvezda  Crvena zvezda,SRB,5.000,0.000,4.000,0.000,1.500,10.5,2.8
129,130,ANO  Anorthosis Famagusta FC  Anorthosis,CYP,0.000,-,1.000,8.000,0.500,9.5,3.599
130,131,ARI  Aris Thessaloniki FC  Aris,GRE,1.000,-,6.000,0.000,-,7.0,5.979
131,132,BIF  Brøndby IF  Brøndby,DEN,5.000,1.000,-,0.000,1.500,7.5,5.47
132,133,SOC  FC Sochaux-Montbéliard  Sochaux,FRA,-,-,2.000,-,-,2.0,10.748
133,134,GCZ  Grasshopper Club Zürich  Grasshoppers,SUI,3.000,4.000,-,0.000,-,7.0,5.675
134,135,GUI  EA Guingamp  Guingamp,FRA,-,-,-,-,1.500,1.5,10.748
135,136,PET  FC Petržalka  Petržalka,SVK,8.000,1.000,0.000,0.000,-,9.0,3.166
136,137,ABE  Aberdeen FC  Aberdeen,SCO,-,-,6.000,-,1.000,7.0,5.158
137,138,RPD  SK Rapid Wien  Rapid Wien,AUT,3.000,-,1.000,0.000,4.000,8.0,3.915
138,139,TIM  FC Timişoara  Timişoara,ROU,-,-,-,0.000,4.000,4.0,7.898
139,140,SAM  PFC Krylya Sovetov Samara  Krylya Sovetov,RUS,2.000,-,-,-,1.000,3.0,8.758
140,141,NCL  CD Nacional  Nacional,POR,-,0.000,-,-,4.000,4.0,7.659
141,142,APO  APOEL FC  APOEL,CYP,0.000,0.000,0.000,1.000,7.000,8.0,3.599
142,143,ZUL  SV Zulte Waregem  Zulte Waregem,BEL,-,6.000,-,-,-,6.0,5.58
143,144,PAO  PAOK FC  PAOK,GRE,4.000,-,-,-,1.500,5.5,5.979
144,145,MET  FC Metalurh Donetsk  Metalurh Donetsk,UKR,2.000,-,-,-,1.500,3.5,7.91
145,146,VSL  FC Vaslui  Vaslui,ROU,-,-,-,2.000,1.500,3.5,7.898
146,147,GRO  FC Groningen  Groningen,NED,-,2.000,2.000,-,-,4.0,7.309
147,148,LEC  KKS Lech Poznań  Lech,POL,-,-,-,7.000,1.500,8.5,2.508
148,149,PAN  Panionios GSS  Panionios,GRE,-,-,5.000,-,-,5.0,5.979
149,150,HEL  Helsingborgs IF  Helsingborg,SWE,-,-,7.000,-,1.000,8.0,2.838
150,151,ZIL  MŠK Žilina  Žilina,SVK,0.000,-,0.000,6.000,1.500,7.5,3.166
151,152,SET  Vitória FC  Setúbal,POR,1.000,1.000,-,1.000,-,3.0,7.659
152,153,BRA  SK Brann  Brann,NOR,0.000,0.000,5.000,2.000,-,7.0,3.48
153,154,TRA  Trabzonspor AŞ  Trabzonspor,TUR,0.000,2.000,-,-,1.500,3.5,6.89
154,155,DM  FC Dynamo Moscow  Dynamo Moscow,RUS,-,-,-,-,1.500,1.5,8.758
155,155,AMK  FC Amkar Perm  Amkar,RUS,-,-,-,-,1.500,1.5,8.758
156,157,SIO  FC Sion  Sion,SUI,-,1.000,2.000,-,1.500,4.5,5.675
157,158,TRO  Tromsø IL  Tromsø,NOR,5.000,-,-,-,1.500,6.5,3.48
158,159,MOS  FC Moskva  Moskva,RUS,-,-,-,1.000,-,1.0,8.758
159,160,PAÇ  FC Paços de Ferreira  Paços Ferreira,POR,-,-,1.000,-,1.000,2.0,7.659
160,161,LEI  UD Leiria  Leiria,POR,-,-,2.000,-,-,2.0,7.659
161,162,VOR  FC Vorskla Poltava  Vorskla,UKR,-,-,-,-,1.500,1.5,7.91
162,163,ZAP  FC Metalurh Zaporizhya  Metalurh Zaporizhya,UKR,-,1.000,-,-,-,1.0,7.91
163,164,KYS  Kayserispor  Kayserispor,TUR,-,1.000,-,1.000,-,2.0,6.89
164,165,NAC  NAC Breda  NAC,NED,-,-,-,-,1.500,1.5,7.309
165,166,WIS  Wisła Kraków  Wisła Kraków,POL,0.000,4.000,-,1.000,1.000,6.0,2.508
166,167,VIK  Viking FK  Viking,NOR,5.000,-,-,0.000,-,5.0,3.48
167,168,LAR  AE Larissa FC  Larissa,GRE,-,-,2.000,-,0.500,2.5,5.979
168,169,LOK  FC Lokomotiv Sofia 1929  Lokomotiv Sofia,BUL,-,2.000,2.000,0.000,-,4.0,4.4
169,170,SIV  Sivasspor  Sivasspor,TUR,-,-,-,-,1.500,1.5,6.89
170,171,GNK  KRC Genk  Genk,BEL,1.000,-,0.000,-,1.500,2.5,5.58
171,172,IRA  Iraklis FC  Iraklis,GRE,-,2.000,-,-,-,2.0,5.979
172,173,CHO  FC Chornomorets Odesa  Chornomorets Odesa,UKR,-,0.000,-,-,-,0.0,7.91
173,174,OTE  FC Oţelul Galaţi  Oţelul,ROU,-,-,0.000,-,-,0.0,7.898
174,175,YB  BSC Young Boys  Young Boys,SUI,-,0.000,0.000,1.000,1.000,2.0,5.675
175,176,MRT  CS Marítimo  Marítimo,POR,-,-,-,0.000,-,0.0,7.659
176,177,BEL  Os Belenenses  Belenenses,POR,-,-,0.000,-,-,0.0,7.659
177,178,HEA  Heart of Midlothian FC  Hearts,SCO,-,1.000,-,-,1.500,2.5,5.158
178,179,GER  K. Beerschot AC  Beerschot,BEL,2.000,-,-,-,-,2.0,5.58
179,180,BNK  FC Baník Ostrava  Baník,CZE,2.000,-,-,1.000,-,3.0,4.395
180,181,ELF  IF Elfsborg  Elfsborg,SWE,-,-,3.000,0.000,1.500,4.5,2.838
181,182,WIL  Willem II  Willem II,NED,0.000,-,-,-,-,0.0,7.309
182,183,XAN  Xanthi FC  Xanthi,GRE,1.000,0.000,-,-,-,1.0,5.979
183,184,STM  SK Sturm Graz  Sturm,AUT,-,-,-,0.000,3.000,3.0,3.915
184,185,TEP  FK Teplice  Teplice,CZE,1.000,-,-,-,1.500,2.5,4.395
185,186,KAY  Kayseri Erciyesspor  Erciyesspor,TUR,-,-,0.000,-,-,0.0,6.89
186,187,GNT  KAA Gent  Gent,BEL,-,-,-,0.000,1.000,1.0,5.58
